,target,assay,nrSamples,minActivity,maxActivity
0,Acetylcholinesterase,CHEMBL3049408,22,4.4,9.52
1,Acetylcholinesterase,CHEMBL945890,29,4.28,10.7
2,Acetylcholinesterase,CHEMBL3626447,21,4.75,8.64
3,Acetylcholinesterase,CHEMBL3047076,72,4.03,7.35
4,Acetylcholinesterase,CHEMBL644831,33,4.71,8.59
5,Acetylcholinesterase,CHEMBL1664219,60,5.59,9.48
6,Acetylcholinesterase,CHEMBL643386,21,5.0,9.09
7,Acetylcholinesterase,CHEMBL4146836,35,4.57,9.44
8,Acetylcholinesterase,CHEMBL1249049,38,4.39,8.15
9,Acetylcholinesterase,CHEMBL3626446,21,4.62,8.42
10,Acetylcholinesterase,CHEMBL644105,26,5.58,9.1
11,Acetylcholinesterase,CHEMBL1041236,29,4.3,8.96
12,Acetylcholinesterase,CHEMBL3387411,22,4.98,9.14
13,Acetylcholinesterase,CHEMBL1646125,20,4.62,8.3
14,Acetylcholinesterase,CHEMBL4198693,24,4.13,7.75
15,Acetylcholinesterase,CHEMBL641238,28,4.06,8.1
16,Acetylcholinesterase,CHEMBL3758061,28,5.12,9.09
17,Acetylcholinesterase,CHEMBL894085,28,4.09,7.98
18,Acetylcholinesterase,CHEMBL829154,26,4.38,9.49
19,COX2,CHEMBL769653,20,4.11,8.52
20,COX2,CHEMBL947228,70,5.24,9.52
21,COX2,CHEMBL947226,24,5.0,8.23
22,COX2,CHEMBL768957,22,4.52,8.46
23,COX2,CHEMBL655563,29,4.0,7.33
24,COX2,CHEMBL762912,27,4.0,7.85
25,COX2,CHEMBL1008495,27,4.0,7.57
26,COX2,CHEMBL769648,50,4.03,8.77
27,COX2,CHEMBL3811631,24,4.12,7.7
28,COX2,CHEMBL3579883,20,4.34,8.2
29,COX2,CHEMBL1059941,21,5.77,9.6
30,COX2,CHEMBL3062548,69,5.24,9.52
31,COX2,CHEMBL1639903,33,4.0,8.3
32,COX2,CHEMBL3363266,23,4.02,8.1
33,DHFR,CHEMBL669873,21,6.0,10.6
34,DHFR,CHEMBL669986,76,4.51,8.7
35,DHFR,CHEMBL2384165,28,4.49,8.77
36,Estrogen,CHEMBL832786,23,5.78,8.82
37,Estrogen,CHEMBL4024644,43,5.11,9.0
38,Estrogen,CHEMBL1909145,32,4.75,9.89
39,Estrogen,CHEMBL3776150,24,5.96,9.16
40,Estrogen,CHEMBL3429911,34,4.97,8.57
41,Estrogen,CHEMBL4200119,24,5.03,8.7
42,Estrogen,CHEMBL676818,27,5.45,8.89
43,Estrogen,CHEMBL3429910,35,5.24,9.82
44,Estrogen,CHEMBL679891,29,6.25,9.3
45,Carbonic,CHEMBL3122609,22,5.06,8.25
46,Carbonic,CHEMBL1646987,29,5.02,8.68
47,Carbonic,CHEMBL658942,43,6.1,9.3
48,Carbonic,CHEMBL3879546,25,5.75,9.3
49,Carbonic,CHEMBL657192,28,5.05,9.15
50,Carbonic,CHEMBL4017666,23,6.02,9.03
51,Carbonic,CHEMBL1693045,28,5.02,8.68
52,Carbonic,CHEMBL657145,44,6.52,9.7
53,Carbonic,CHEMBL3269990,45,4.55,8.15
54,Carbonic,CHEMBL3377547,21,5.29,8.36
55,Carbonic,CHEMBL3366665,21,5.29,8.36
56,D2,CHEMBL872881,27,5.26,8.7
57,D2,CHEMBL1061432,20,4.27,7.39
58,D2,CHEMBL673073,28,4.34,7.41
59,D2,CHEMBL3801477,25,4.07,8.15
60,D2,CHEMBL948052,21,6.04,9.34
61,D2,CHEMBL866800,26,4.17,7.55
62,D2,CHEMBL3614290,35,6.0,9.32
63,D2,CHEMBL1909140,100,4.7,9.31
64,D2,CHEMBL3089794,24,4.87,7.98
65,D2,CHEMBL4046973,21,4.85,9.28
66,D2,CHEMBL3073105,38,5.85,9.72
67,D2,CHEMBL4046974,22,5.05,9.42
68,D2,CHEMBL866799,26,4.19,7.39
69,D2,CHEMBL671368,29,5.1,8.64
70,erbB1,CHEMBL677204,32,4.0,10.54
71,erbB1,CHEMBL1798351,101,4.05,8.02
72,erbB1,CHEMBL680017,63,4.92,10.6
73,erbB1,CHEMBL3616083,26,5.28,10.54
74,erbB1,CHEMBL1686143,30,4.33,9.0
75,erbB1,CHEMBL677880,34,4.11,8.4
76,erbB1,CHEMBL3877875,20,5.0,9.0
77,erbB1,CHEMBL3240253,20,5.26,9.0
